SITE_ID,TOWER_TX,TOWER_RX,BANDWIDTH,
305682,848.6,,200,
32719,929.51875,853.51875,12.5, 
32719,929.55625,929.55625,12.5, 
32721,865.4625,820.4625,25, 
32721,865.9625,820.9625,25, 
32721,866.4625,821.4625,25, 
32721,866.9625,821.9625,25, 
32721,867.9625,822.9625,25, 
32721,868.9625,823.9625,25, 
32721,869.9625,824.9625,25, 
32725,860.9375,,25, 
32725,928.4125,852.4125,25, 
32725,931.5,855.5,200, 
32725,932.1,856.1,200, 
32830,865.3875,820.3875,25, 
32830,865.8875,820.8875,25, 
32830,866.3875,821.3875,25, 
32830,866.8875,821.8875,25, 
32830,867.3875,822.3875,25, 
32830,867.8875,822.8875,25, 
32830,868.3875,823.3875,25, 
32830,869.3875,824.3875,25, 
32830,847.8,,200, 
32867,857.0625,,25, 
32867,857.0625,,25, 
32867,857.0625,,25, 
32867,857.0625,,25, 
32867,857.0625,,25, 
32867,857.0625,,25, 
32867,860.9375,,25, 
32899,866.0625,821.0625,25, 
32899,866.5875,821.5875,25, 
32899,867.0625,822.0625,25, 
32899,867.5875,822.5875,25, 
32899,868.5875,823.5875,25, 
32899,869.0625,824.0625,25, 
32899,869.5875,824.5875,25, 
32900,860.9125,,25, 
32900,860.9125,,25, 
32900,860.9125,,25, 
32900,860.9125,,25, 
32900,860.9125,,25,
32900,857.0625,,25, 
32900,860.9125,,25, 
32900,852.2125,928.2125,25, 
32900,852.2625,928.2625,25, 
32900,856.1,932.1,200, 
32901,847,,325,
32932,848.6,,200,
32946,865.3375,820.3375,25, 
32946,865.8375,820.8375,25, 
32946,866.3375,821.3375,25, 
32946,866.8375,821.8375,25, 
32946,867.3375,822.3375,25, 
32946,868.3375,823.3375,25, 
32946,869.3375,824.3375,25, 
32948,854.3,930.3,200, 
32960,857.0625,,25, 
32982,860.9125,,25, 
32982,859.0125,,25, 
32982,866.0625,821.0625,25, 
32982,867.0625,822.0625,25, 
32982,868.0625,823.0625,25, 
32982,869.0625,824.0625,25, 
32982,928.2625,852.2625,25, 
32982,928.5375,852.5375,25, 
32982,856.5,932.5,200, 
33023,805.1,850.1,200,
33023,805.3,850.3,200,
33030,852.4125,928.4125,25, 
33051,857.0625,,25, 
33051,928.0625,852.0625,25,
33058,928.2125,852.2125,25,
33111,928.0375,852.0375,25,
33123,860.9125,,25, 
33123,865.4875,820.4875,25, 
33123,866.4875,821.4875,25, 
33123,867.4875,822.4875,25, 
33123,868.4625,823.4625,25, 
33124,852.3125,928.3125,25,
33125,928.0875,852.0875,25,
33131,860.9125,,25, 
33131,857.0875,,25,
33131,857.0875,,25,
33131,928.1625,852.1625,25, 
33131,928.2125,852.2125,25, 
33147,865.5625,820.5625,25, 
33147,866.5625,821.5625,25, 
33147,867.5625,822.5625,25, 
33160,865.9625,820.9625,25, 
33160,866.9625,821.9625,25, 
33160,867.9625,822.9625,25, 
33160,868.9625,823.9625,25, 
33163,865.5875,820.5875,25, 
33163,866.5375,821.5375,25, 
33163,867.5375,822.5375,25, 
33163,868.5375,823.5375,25, 
33164,865.7625,820.7625,25, 
33164,866.7625,821.7625,25, 
33164,867.7625,822.7625,25, 
33164,868.7625,823.7625,25, 
33165,859.0125,,25, 
33165,852.5375,928.5375,25, 
33169,860.9125,,25, 
33169,865.1375,820.1375,25, 
33169,866.1375,821.1375,25, 
33169,867.1375,822.1375,25, 
33169,868.1375,823.1375,25, 
33170,865.2375,820.2375,25, 
33170,866.2375,821.2375,25, 
33170,867.2375,822.2375,25, 
33170,868.2375,823.2375,25, 
33170,869.2375,824.2375,25, 
33175,866.6375,821.6375,25, 
33175,867.8125,822.8125,25, 
33175,868.8125,823.8125,25, 
33177,865.3625,820.3625,25, 
33177,866.3625,821.3625,25, 
33177,867.3625,822.3625,25, 
33177,868.3625,823.3625,25, 
33177,930.7,854.7,200, 
33177,932.5,856.5,200, 
33186,867.8375,822.8375,25, 
33186,868.8375,823.8375,25, 
33186,869.8375,824.8375,25, 
33277,857.0625,,25, 
33277,852.4625,928.4625,25, 
33278,850.3,805.3,200,
33279,857.0625,,25, 
33279,865.0375,820.0375,25, 
33279,866.0375,821.0375,25, 
33279,867.0375,822.0375,25, 
33279,868.0375,823.0375,25, 
33279,869.0375,824.0375,25, 
33279,928.2375,852.2375,25, 
33279,928.4625,852.4625,25, 
33279,932.1,856.1,200, 
33279,932.7,856.7,200, 
33327,930.3,854.3,200, 
33386,865.1625,820.1625,25, 
33386,866.1625,821.1625,25, 
33386,867.1625,822.1625,25, 
33400,928.4375,852.4375,25,
33400,928.4125,852.4125,25, 
33411,928.3125,852.3125,25,
33426,929.98125,853.98125,12.5,
33445,865.5875,820.5875,25, 
33445,866.5875,821.5875,25, 
33445,867.5875,822.5875,25, 
33445,868.5875,823.5875,25, 
33462,852.2625,928.2625,25,
33475,928.0375,852.0375,25,
33475,928.2625,852.2625,25,
33475,928.7875,852.7875,25,
33475,928.8875,852.8875,25,
33483,865.5875,820.5875,25, 
33483,866.5875,821.5875,25, 
33483,867.5875,822.5875,25, 
33483,868.5875,823.5875,25, 
33489,857.0875,,25,
33489,852.1625,928.1625,25, 
33490,857.0875,,25,
33490,865.0625,820.0625,25, 
33490,866.0625,821.0625,25, 
33490,867.0625,822.0625,25, 
33490,868.0625,823.0625,25, 
33565,852.9625,928.9625,25, 
33565,930.3,854.3,200, 
33565,931.9,855.9,200, 
33566,928.2375,852.2375,25,
33631,849.6375,804.6375,25,
33635,848.6,,240, 
33650,845.2,,200,
33650,845.6,,200,
33650,846,,200,
33650,848.8,,200,
33650,848.2,,400, 
33650,847.4,,400, 
33691,865.6625,820.6625,25,
33691,866.6625,821.6625,25,
33691,869.6625,824.6625,25,
33698,865.9875,,25, 
33698,866.9875,821.9875,25, 
33698,867.9875,822.9875,25, 
33698,868.9875,823.9875,25, 
33698,869.9875,824.9875,25, 
33698,865.4125,820.4125,25, 
33698,866.4125,821.4125,25, 
33746,865.0125,820.0125,25, 
33746,865.8875,820.8875,25, 
33746,866.8875,821.8875,25, 
33746,867.8875,822.8875,25, 
33746,868.8875,823.8875,25, 
33746,869.8875,824.8875,25, 
33746,854.9,930.9,200, 
33757,867.5625,822.5625,25, 
33757,868.5625,823.5625,25, 
33757,869.5625,824.5625,25, 
33781,859.0375,,25, 
33784,859.0375,,25, 
33805,852.2375,,25, 
33805,928.1375,852.1375,25,
33806,865.2875,820.2875,25, 
