SITE_ID,POSTCODE,NAME,HCIS_L2,ELEVATION,LATITUDE,LONGITUDE
32721,7000,Police Headquarters 30-32 Bathurst Street HOBART,LY9N,15,-42.879222,147.328147
32830,7008,Broadcast Australia Site Pinnacle Rd MT WELLINGTON,LY9M,1222,-42.897566,147.236358
32899,7012,TasNetworks - Site GOAT HILLS  GOAT HILLS,LY9M,594,-42.832041,147.223933
32946,7170,TasNetworks - Site Guy Fawkes Hill  GUY FAWKES HILL,LY9N,329,-42.866061,147.457558
32982,7030,Tasmania Fire Service Site BARREN TIER,LY8D,1182,-42.018302,146.75519
33123,7120,TasNetworks site Mt Seymour  OATLANDS,LY9F,739,-42.367848,147.471248
33147,7139,TasNetworks Site Twelve Trees Range STRATHGORDON,LY8M,663,-42.774729,146.071029
33160,7140,TasNetworks Site MT Tim Shea MAYDENA,LY8J,903,-42.716104,146.46609
33163,7140,TasNetworks Site Abbotts Lookout MAYDENA,LY8O,1059,-42.775274,146.654628
33164,7140,TasNetworks Site Heals Spur  WAYATINAH,LY8F,684,-42.412421,146.463994
33169,7140,Norske Skoge / Telstra Site BELCHERS LOOKOUT,LY8K,610,-42.661025,146.737502
33170,7140,Fletcher Challenge Site MT LLOYD,LY8P,915,-42.844896,146.960447
33175,7140,TasNetworks Site Bilton Hill  BILTON HILL,LY8G,361,-42.48603,146.64005
33177,7140,TasNetworks Site Bradys Sugarloaf  WAYATINAH,LY8G,999,-42.27083,146.544503
33186,7140,Comm Site MT KING WILLIAM,LY8A,871,-42.22421,146.13887
33279,7150,TasNetworks Site  GREY MOUNTAIN,LZ3A,828,-43.091209,147.116492
33386,7190,Council Reservoir Site TRIABUNNA,LY9L,undefined,-42.512706,147.924074
33445,7330,Ambulance Site Spinks Hill ALCOMIE,LY1M,264,-40.92693,145.1743
33483,7215,TasNetworks Site  SOUTH SISTER,MY4I,764,-41.534456,148.171399
33490,7215,Tas Ambulance Service Site near TV Translator Site BICHENO,MY4N,158,-41.881404,148.296212
33746,7253,Police Site MT GEORGE,LY5D,189,-41.103146,146.862179
33757,7255,Telstra Site Flinders Is VINEGAR HILL,MY1B,86,-40.200928,148.252644
33806,7259,Air Services Australia Tower MT BARROW,LY6F,1319,-41.377304,147.421683
33826,7265,TasNetworks and Tasmania Police Site  MT HORROR,LY6C,614,-41.065861,147.736325
33909,7303,Radio Terminal KELLYS LOOKOUT,LY5H,573,-41.304156,146.77564
33950,7303,TasNetworks Site (Cobblers Hill) CLUAN TIERS,LY5L,796,-41.653609,146.826376
33951,7301,TasNetworks Site POATINA SADDLE,LY5P,1114,-41.810925,146.852858
33990,7304,TasNetworks Site  WESTERN BLUFF,LY5J,1183,-41.65947,146.30569
