LICENSE_NO,TOWER_TX_FREQ,TOWER_RX_FREQ,SITE_NO
1416198,865.7625,820.7625,33164
1416199,866.7625,821.7625,33164
1416200,867.7625,822.7625,33164
1416201,865.8375,820.8375,33951
1416202,866.8375,821.8375,33951
1416203,867.8375,822.8375,33951
1416204,865.4625,820.4625,34270
1416205,866.4625,821.4625,34270
1416206,867.4625,822.4625,34270
1416660,865.3375,820.3375,402275
1416661,866.3375,821.3375,402275
1416662,867.3375,822.3375,402275
1416663,865.1625,820.1625,402276
1416664,866.1625,821.1625,402276
1416665,867.1625,822.1625,402276
1418207,865.4125,820.4125,220486
1418208,866.4125,821.4125,220486
1418209,867.4125,822.4125,220486
1418210,868.4125,823.4125,220486
1418348,865.1625,820.1625,34321
1418349,866.1625,821.1625,34321
1418350,867.1625,822.1625,34321
1418351,868.1625,823.1625,34321
1424507,866.5875,821.5875,32899
1424508,867.5875,822.5875,32899
1424510,869.5875,824.5875,32899
1424511,866.0625,821.0625,32899
1424512,867.0625,822.0625,32899
1424513,869.0625,824.0625,32899
1431413,868.5875,823.5875,32899
1703115,865.0125,820.0125,402277
1703116,865.0375,820.0375,33279
1703117,866.0375,821.0375,33279
1703118,867.0375,822.0375,33279
1703119,865.0625,820.0625,33490
1703120,865.0875,820.0875,700358
1703121,866.0875,821.0875,700358
1703122,867.0875,822.0875,700358
1703124,865.1625,820.1625,33386
1703124,865.1625,820.1625,9008349
1703125,865.2375,820.2375,33170
1703126,866.2375,821.2375,33170
1703127,867.2375,822.2375,33170
1703128,868.2375,823.2375,33170
1703129,865.3875,820.3875,32830
1703130,866.3875,821.3875,32830
1703131,867.3875,822.3875,32830
1703132,868.3875,823.3875,32830
1703133,869.3875,824.3875,32830
1703134,865.3375,820.3375,32946
1703135,866.3375,821.3375,32946
1703136,867.3375,822.3375,32946
1703137,868.3375,823.3375,32946
1703138,869.3375,824.3375,32946
1703139,865.4875,820.4875,33123
1703193,856.7,932.7,402277
1703193,932.7,856.7,33279
1703194,856.1,932.1,152342
1703194,932.1,856.1,33279
1703312,865.1875,820.1875,700438
1703313,866.1875,821.1875,700438
1703314,867.1875,822.1875,700438
1703315,865.2125,820.2125,33909
1703316,866.2125,821.2125,33909
1703317,867.2125,822.2125,33909
1703318,865.2625,820.2625,700816
1703319,866.2625,821.2625,700816
1703320,867.2625,822.2625,700816
1703321,865.2875,820.2875,33806
1703322,866.2875,821.2875,33806
